vacID,date,province,partial,fully,booster
1,2021-01-02,BC,17510,0,0
2,2021-01-02,AB,14244,0,0
3,2021-01-02,SK,3722,0,0
4,2021-01-02,MB,3540,2,0
5,2021-01-02,ON,33191,0,0
6,2021-01-02,QC,28691,1,0
7,2021-01-02,NL,1785,0,0
8,2021-01-02,NB,2905,0,0
9,2021-01-02,NS,2596,0,0
10,2021-01-02,PE,1932,0,0
11,2021-01-02,YT,0,0,0
12,2021-01-02,NT,2,0,0
13,2021-01-02,NU,0,0,0
14,2021-01-09,BC,46259,0,0
15,2021-01-09,AB,42333,0,0
16,2021-01-09,SK,6964,0,0
17,2021-01-09,MB,8919,899,0
18,2021-01-09,ON,103263,2940,0
19,2021-01-09,QC,78886,102,0
20,2021-01-09,NL,1785,0,0
21,2021-01-09,NB,5019,0,0
22,2021-01-09,NS,2720,0,0
23,2021-01-09,PE,3600,0,0
24,2021-01-09,YT,310,0,0
25,2021-01-09,NT,162,0,0
26,2021-01-09,NU,29,0,0
27,2021-01-16,BC,75914,0,0
28,2021-01-16,AB,81561,0,0
29,2021-01-16,SK,16927,1752,0
30,2021-01-16,MB,17642,2201,0
31,2021-01-16,ON,189090,9667,0
32,2021-01-16,QC,144281,289,0
33,2021-01-16,NL,5291,1495,0
34,2021-01-16,NB,7732,1862,0
35,2021-01-16,NS,7600,2200,0
36,2021-01-16,PE,5102,1154,0
37,2021-01-16,YT,1184,0,0
38,2021-01-16,NT,512,0,0
39,2021-01-16,NU,983,0,0
40,2021-01-23,BC,110566,2202,0
41,2021-01-23,AB,98807,7272,0
42,2021-01-23,SK,32385,3416,0
43,2021-01-23,MB,30764,3498,0
44,2021-01-23,ON,276146,28954,0
45,2021-01-23,QC,220997,685,0
46,2021-01-23,NL,8549,1495,0
47,2021-01-23,NB,10436,2567,0
48,2021-01-23,NS,10575,2705,0
49,2021-01-23,PE,6525,1799,0
50,2021-01-23,YT,3730,0,0
51,2021-01-23,NT,1893,0,0
52,2021-01-23,NU,3822,0,0
53,2021-01-30,BC,129241,4262,0
54,2021-01-30,AB,105752,15648,0
55,2021-01-30,SK,35239,4637,0
56,2021-01-30,MB,41811,7834,0
57,2021-01-30,ON,336828,67787,0
58,2021-01-30,QC,251615,1515,0
59,2021-01-30,NL,10080,1737,0
60,2021-01-30,NB,14257,2839,0
61,2021-01-30,NS,14589,2714,0
62,2021-01-30,PE,7510,2232,0
63,2021-01-30,YT,6496,0,0
64,2021-01-30,NT,9471,0,0
65,2021-01-30,NU,5316,0,0
66,2021-02-06,BC,149564,10366,0
67,2021-02-06,AB,116716,25540,0
68,2021-02-06,SK,41254,8157,0
69,2021-02-06,MB,47986,13003,0
70,2021-02-06,ON,372666,96573,0
71,2021-02-06,QC,269738,3073,0
72,2021-02-06,NL,12596,3324,0
73,2021-02-06,NB,17277,4460,0
74,2021-02-06,NS,17295,4681,0
75,2021-02-06,PE,8337,3037,0
76,2021-02-06,YT,10519,0,0
77,2021-02-06,NT,12366,125,0
78,2021-02-06,NU,5649,0,0
79,2021-02-13,BC,162982,17562,0
80,2021-02-13,AB,144114,49166,0
81,2021-02-13,SK,48566,12410,0
82,2021-02-13,MB,56282,20152,0
83,2021-02-13,ON,456947,164307,0
84,2021-02-13,QC,312839,6244,3
85,2021-02-13,NL,14687,4865,0
86,2021-02-13,NB,18643,5347,0
87,2021-02-13,NS,22343,7498,0
88,2021-02-13,PE,9139,3787,0
89,2021-02-13,YT,11514,909,0
90,2021-02-13,NT,13132,299,0
91,2021-02-13,NU,8339,2134,0
92,2021-02-20,BC,192942,36923,0
93,2021-02-20,AB,165527,63882,0
94,2021-02-20,SK,57824,17745,0
95,2021-02-20,MB,62812,25874,0
96,2021-02-20,ON,540129,229151,0
97,2021-02-20,QC,356352,7892,8
98,2021-02-20,NL,16458,6112,0
99,2021-02-20,NB,21182,7505,0
100,2021-02-20,NS,25032,9782,0
101,2021-02-20,PE,10691,4979,0
102,2021-02-20,YT,11850,1223,0
103,2021-02-20,NT,14157,579,0
104,2021-02-20,NU,9049,2134,0
105,2021-02-27,BC,252373,73808,0
106,2021-02-27,AB,218696,85442,0
107,2021-02-27,SK,75501,24591,0
108,2021-02-27,MB,77119,29980,0
109,2021-02-27,ON,668104,260972,0
110,2021-02-27,QC,448160,9454,11
111,2021-02-27,NL,20285,7466,0
112,2021-02-27,NB,26317,11036,0
113,2021-02-27,NS,32019,12105,0
114,2021-02-27,PE,12176,5165,0
115,2021-02-27,YT,15174,4309,0
116,2021-02-27,NT,16454,1934,0
117,2021-02-27,NU,11383,4107,0
118,2021-03-06,BC,311208,86865,0
119,2021-03-06,AB,282674,90824,0
120,2021-03-06,SK,90456,28006,0
121,2021-03-06,MB,93798,33551,0
122,2021-03-06,ON,860412,270625,0
123,2021-03-06,QC,567238,11072,12
124,2021-03-06,NL,24757,8427,0
125,2021-03-06,NB,33741,12142,0
126,2021-03-06,NS,38676,14395,0
127,2021-03-06,PE,13281,5273,0
128,2021-03-06,YT,21097,7826,0
129,2021-03-06,NT,19775,4558,0
130,2021-03-06,NU,13911,5144,0
131,2021-03-13,BC,380743,87024,0
132,2021-03-13,AB,346135,91520,0
133,2021-03-13,SK,100195,29029,0
134,2021-03-13,MB,108919,35198,0
135,2021-03-13,ON,1116496,284686,0
136,2021-03-13,QC,724661,14910,16
137,2021-03-13,NL,33621,9170,0
138,2021-03-13,NB,38483,12152,0
139,2021-03-13,NS,46891,15655,0
140,2021-03-13,PE,15648,5603,0
141,2021-03-13,YT,27738,9805,0
142,2021-03-13,NT,28208,11151,0
143,2021-03-13,NU,15889,5750,0
144,2021-03-20,BC,490022,87139,0
145,2021-03-20,AB,452690,92935,0
146,2021-03-20,SK,133828,31162,0
147,2021-03-20,MB,139050,44789,1
148,2021-03-20,ON,1480882,297134,0
149,2021-03-20,QC,965087,16723,18
150,2021-03-20,NL,46053,9411,0
151,2021-03-20,NB,57722,12200,0
152,2021-03-20,NS,58036,20050,0
153,2021-03-20,PE,16779,5614,0
154,2021-03-20,YT,32350,10598,0
155,2021-03-20,NT,32074,12389,0
156,2021-03-20,NU,17997,6413,0
157,2021-03-27,BC,637856,87233,0
158,2021-03-27,AB,577223,95452,0
159,2021-03-27,SK,167509,36494,0
160,2021-03-27,MB,179856,56829,2
161,2021-03-27,ON,1916332,308301,0
162,2021-03-27,QC,1233657,18448,20
163,2021-03-27,NL,55231,9527,0
164,2021-03-27,NB,81064,12216,0
165,2021-03-27,NS,83148,23662,0
166,2021-03-27,PE,20258,6139,0
167,2021-03-27,YT,34003,10870,0
168,2021-03-27,NT,35397,13283,0
169,2021-03-27,NU,19669,6785,0
170,2021-04-03,BC,856801,87455,0
171,2021-04-03,AB,653010,103926,0
172,2021-04-03,SK,214246,39119,0
173,2021-04-03,MB,238004,67961,3
174,2021-04-03,ON,2424063,321469,0
175,2021-04-03,QC,1552114,21476,24
176,2021-04-03,NL,69851,9654,0
177,2021-04-03,NB,116885,12250,0
178,2021-04-03,NS,111403,29530,0
179,2021-04-03,PE,25153,7212,0
180,2021-04-03,YT,35470,11592,0
181,2021-04-03,NT,37655,13933,0
182,2021-04-03,NU,21012,7740,0
183,2021-04-10,BC,1025019,87606,0
184,2021-04-10,AB,847630,163532,0
185,2021-04-10,SK,268895,40597,0
186,2021-04-10,MB,290918,71602,6
187,2021-04-10,ON,3044949,330982,0
188,2021-04-10,QC,1903438,34281,27
189,2021-04-10,NL,105652,9674,0
190,2021-04-10,NB,150106,15559,0
191,2021-04-10,NS,138348,30838,0
192,2021-04-10,PE,30937,8241,0
193,2021-04-10,YT,39687,15343,0
194,2021-04-10,NT,38574,14471,0
195,2021-04-10,NU,22865,9247,0
196,2021-04-17,BC,1282091,87970,0
197,2021-04-17,AB,1121901,220472,0
198,2021-04-17,SK,334063,42523,0
199,2021-04-17,MB,352207,73391,6
200,2021-04-17,ON,3751316,344244,0
201,2021-04-17,QC,2382755,50134,39
202,2021-04-17,NL,130124,9674,0
203,2021-04-17,NB,190460,17901,0
204,2021-04-17,NS,194792,32255,0
205,2021-04-17,PE,39504,9325,0
206,2021-04-17,YT,44046,19125,0
207,2021-04-17,NT,41217,16471,0
208,2021-04-17,NU,24469,10434,0
209,2021-04-24,BC,1542066,88663,0
210,2021-04-24,AB,1361365,267195,0
211,2021-04-24,SK,392294,43438,0
212,2021-04-24,MB,433809,75453,10
213,2021-04-24,ON,4527368,358776,0
214,2021-04-24,QC,2863090,75110,55
215,2021-04-24,NL,150624,9676,0
216,2021-04-24,NB,236953,23548,0
217,2021-04-24,NS,260788,34493,0
218,2021-04-24,PE,46278,9768,0
219,2021-04-24,YT,46822,21359,0
220,2021-04-24,NT,44646,19271,0
221,2021-04-24,NU,26855,11940,0
222,2021-05-01,BC,1786772,90642,0
223,2021-05-01,AB,1597666,299929,0
224,2021-05-01,SK,435142,44324,0
225,2021-05-01,MB,501887,78888,15
226,2021-05-01,ON,5247684,373559,0
227,2021-05-01,QC,3279548,126942,79
228,2021-05-01,NL,177390,9676,0
229,2021-05-01,NB,267662,26738,0
230,2021-05-01,NS,312493,36381,0
231,2021-05-01,PE,53202,10585,0
232,2021-05-01,YT,48307,22403,0
233,2021-05-01,NT,46800,20943,0
234,2021-05-01,NU,28251,12395,0
235,2021-05-08,BC,2042442,99461,0
236,2021-05-08,AB,1846554,314504,0
237,2021-05-08,SK,504482,46022,0
238,2021-05-08,MB,565520,83289,19
239,2021-05-08,ON,6023610,390990,0
240,2021-05-08,QC,3768302,202520,111
241,2021-05-08,NL,200591,9676,0
242,2021-05-08,NB,302262,29688,0
243,2021-05-08,NS,356978,37630,0
244,2021-05-08,PE,59758,10750,0
245,2021-05-08,YT,49439,23048,0
246,2021-05-08,NT,48007,21674,0
247,2021-05-08,NU,29096,12768,0
248,2021-05-15,BC,2393265,124880,0
249,2021-05-15,AB,2144280,327063,0
250,2021-05-15,SK,571957,48264,0
251,2021-05-15,MB,660756,89818,21
252,2021-05-15,ON,6925232,422960,0
253,2021-05-15,QC,4371914,277753,139
254,2021-05-15,NL,232216,9876,0
255,2021-05-15,NB,349662,32724,0
256,2021-05-15,NS,415570,38830,0
257,2021-05-15,PE,67758,11429,0
258,2021-05-15,YT,50652,23673,0
259,2021-05-15,NT,49811,22501,0
260,2021-05-15,NU,29649,13080,0
261,2021-05-22,BC,2744020,142406,0
262,2021-05-22,AB,2460857,347008,0
263,2021-05-22,SK,645384,55861,0
264,2021-05-22,MB,754595,100354,24
265,2021-05-22,ON,7925277,519981,0
266,2021-05-22,QC,4999959,361787,178
267,2021-05-22,NL,264031,10321,0
268,2021-05-22,NB,411471,35702,0
269,2021-05-22,NS,483549,40900,0
270,2021-05-22,PE,78817,12156,0
271,2021-05-22,YT,51758,24254,0
272,2021-05-22,NT,51320,22960,0
273,2021-05-22,NU,30824,13906,0
274,2021-05-29,BC,3106269,160885,0
275,2021-05-29,AB,2720687,381015,0
276,2021-05-29,SK,706548,72818,0
277,2021-05-29,MB,860724,119490,25
278,2021-05-29,ON,8839445,659139,0
279,2021-05-29,QC,5575192,451046,231
280,2021-05-29,NL,297873,11401,0
281,2021-05-29,NB,461042,38815,0
282,2021-05-29,NS,560843,43252,0
283,2021-05-29,PE,87861,12868,0
284,2021-05-29,YT,52649,24763,0
285,2021-05-29,NT,52237,23344,0
286,2021-05-29,NU,31927,14783,0
287,2021-06-05,BC,3488884,256725,0
288,2021-06-05,AB,3013555,502833,0
289,2021-06-05,SK,787130,122593,0
290,2021-06-05,MB,952990,154828,30
291,2021-06-05,ON,9834182,963257,0
292,2021-06-05,QC,6195269,603440,347
293,2021-06-05,NL,330103,14404,0
294,2021-06-05,NB,520899,45646,0
295,2021-06-05,NS,621661,44188,0
296,2021-06-05,PE,98628,14254,0
297,2021-06-05,YT,54166,25252,0
298,2021-06-05,NT,53501,23922,0
299,2021-06-05,NU,32675,15268,0
300,2021-06-12,BC,3893581,497932,0
301,2021-06-12,AB,3336850,729137,0
302,2021-06-12,SK,878665,191808,0
303,2021-06-12,MB,1050481,206595,33
304,2021-06-12,ON,11022452,1667761,0
305,2021-06-12,QC,6814136,901822,483
306,2021-06-12,NL,363252,23712,0
307,2021-06-12,NB,583855,69686,0
308,2021-06-12,NS,678615,47930,0
309,2021-06-12,PE,111616,16901,0
310,2021-06-12,YT,55485,25789,0
311,2021-06-12,NT,55078,24881,0
312,2021-06-12,NU,33592,15707,0
313,2021-06-19,BC,4296151,823371,0
314,2021-06-19,AB,3721419,1040740,0
315,2021-06-19,SK,981734,275362,0
316,2021-06-19,MB,1159280,291240,41
317,2021-06-19,ON,12366899,2725302,0
318,2021-06-19,QC,7483965,1413794,750
319,2021-06-19,NL,404055,41336,0
320,2021-06-19,NB,649110,121777,0
321,2021-06-19,NS,752599,73600,0
322,2021-06-19,PE,123208,18828,0
323,2021-06-19,YT,56640,26262,0
324,2021-06-19,NT,57215,26383,0
325,2021-06-19,NU,33958,15867,0
326,2021-06-26,BC,4703549,1167117,0
327,2021-06-26,AB,4022084,1307433,0
328,2021-06-26,SK,1092980,374384,0
329,2021-06-26,MB,1324778,438301,55
330,2021-06-26,ON,13824469,3988105,0
331,2021-06-26,QC,8121932,1993791,1014
332,2021-06-26,NL,441692,67867,0
333,2021-06-26,NB,725042,189927,0
334,2021-06-26,NS,847830,147001,0
335,2021-06-26,PE,136472,23793,0
336,2021-06-26,YT,58092,27055,0
337,2021-06-26,NT,58840,27413,0
338,2021-06-26,NU,36791,16026,0
339,2021-07-03,BC,5124693,1526711,0
340,2021-07-03,AB,4432975,1685067,0
341,2021-07-03,SK,1202927,474034,0
342,2021-07-03,MB,1500753,590786,74
343,2021-07-03,ON,15365003,5377506,0
344,2021-07-03,QC,8853525,2672618,1456
345,2021-07-03,NL,489622,100584,0
346,2021-07-03,NB,808951,266840,0
347,2021-07-03,NS,961653,253331,0
348,2021-07-03,PE,150370,33804,0
349,2021-07-03,YT,59373,27917,0
350,2021-07-03,NT,60053,28182,0
351,2021-07-03,NU,37773,16379,0
352,2021-07-10,BC,5565983,1915919,0
353,2021-07-10,AB,4777367,1998692,0
354,2021-07-10,SK,1288868,549537,0
355,2021-07-10,MB,1618806,690266,86
356,2021-07-10,ON,16827434,6702624,0
357,2021-07-10,QC,9578514,3350354,2931
358,2021-07-10,NL,537599,145174,0
359,2021-07-10,NB,890757,340583,0
360,2021-07-10,NS,1085267,369412,0
361,2021-07-10,PE,161660,43065,0
362,2021-07-10,YT,61158,29071,0
363,2021-07-10,NT,60876,28748,0
364,2021-07-10,NU,38668,16902,0
365,2021-07-17,BC,6004668,2310888,0
366,2021-07-17,AB,4980821,2177629,0
367,2021-07-17,SK,1341561,593819,0
368,2021-07-17,MB,1691511,748344,103
369,2021-07-17,ON,17979575,7726829,0
370,2021-07-17,QC,10228130,3952269,3317
371,2021-07-17,NL,582878,186374,0
372,2021-07-17,NB,958918,401409,0
373,2021-07-17,NS,1193508,470591,0
374,2021-07-17,PE,174815,53753,0
375,2021-07-17,YT,61883,29621,0
376,2021-07-17,NT,61741,29287,0
377,2021-07-17,NU,40754,18455,0
378,2021-07-24,BC,6422503,2692024,0
379,2021-07-24,AB,5157947,2331079,0
380,2021-07-24,SK,1381066,625944,0
381,2021-07-24,MB,1749940,795051,139
382,2021-07-24,ON,18848661,8480761,0
383,2021-07-24,QC,10845231,4524683,3754
384,2021-07-24,NL,625002,226357,0
385,2021-07-24,NB,1005101,441023,0
386,2021-07-24,NS,1271948,541389,0
387,2021-07-24,PE,187160,64478,0
388,2021-07-24,YT,62666,30199,0
389,2021-07-24,NT,62725,29940,0
390,2021-07-24,NU,41311,18816,0
391,2021-07-31,BC,6774257,3008360,0
392,2021-07-31,AB,5294361,2444290,0
393,2021-07-31,SK,1411497,650100,0
394,2021-07-31,MB,1824985,855874,165
395,2021-07-31,ON,19459198,8985638,0
396,2021-07-31,QC,11343916,4978580,6049
397,2021-07-31,NL,662606,260035,0
398,2021-07-31,NB,1031439,462780,0
399,2021-07-31,NS,1345401,606975,0
400,2021-07-31,PE,199191,75318,0
401,2021-07-31,YT,63242,30533,0
402,2021-07-31,NT,63564,30497,0
403,2021-07-31,NU,42032,19313,0
404,2021-08-07,BC,6993104,3195128,0
405,2021-08-07,AB,5365607,2497933,0
406,2021-08-07,SK,1430018,664144,0
407,2021-08-07,MB,1857993,881813,193
408,2021-08-07,ON,19825240,9280698,0
409,2021-08-07,QC,11704087,5292402,8620
410,2021-08-07,NL,698395,291870,0
411,2021-08-07,NB,1051567,478750,0
412,2021-08-07,NS,1387232,643507,0
413,2021-08-07,PE,210946,85833,0
414,2021-08-07,YT,63824,30921,0
415,2021-08-07,NT,64296,30999,0
416,2021-08-07,NU,42715,19794,0
417,2021-08-14,BC,7164020,3337348,0
418,2021-08-14,AB,5423834,2539474,0
419,2021-08-14,SK,1444378,674499,0
420,2021-08-14,MB,1879818,898150,223
421,2021-08-14,ON,20146936,9532105,0
422,2021-08-14,QC,12015886,5545329,11580
423,2021-08-14,NL,730140,319200,0
424,2021-08-14,NB,1068501,491599,0
425,2021-08-14,NS,1403617,657205,0
426,2021-08-14,PE,222436,96307,0
427,2021-08-14,YT,64263,31259,0
428,2021-08-14,NT,64729,31283,0
429,2021-08-14,NU,43158,20081,0
430,2021-08-21,BC,7296096,3442163,0
431,2021-08-21,AB,5477098,2574709,0
432,2021-08-21,SK,1458806,684023,0
433,2021-08-21,MB,1899659,911813,244
434,2021-08-21,ON,20433440,9731926,0
435,2021-08-21,QC,12325831,5797637,14545
436,2021-08-21,NL,760145,346676,0
437,2021-08-21,NB,1082569,501598,0
438,2021-08-21,NS,1422963,671921,0
439,2021-08-21,PE,232741,105678,0
440,2021-08-21,YT,64595,31502,0
441,2021-08-21,NT,65467,31756,0
442,2021-08-21,NU,43628,20369,0
443,2021-08-28,BC,7408715,3514485,0
444,2021-08-28,AB,5528420,2606944,0
445,2021-08-28,SK,1472272,692313,0
446,2021-08-28,MB,1919940,924959,285
447,2021-08-28,ON,20679316,9892465,0
448,2021-08-28,QC,12558779,5976384,17479
449,2021-08-28,NL,776397,360371,0
450,2021-08-28,NB,1104142,518501,0
451,2021-08-28,NS,1439698,685346,0
452,2021-08-28,PE,239883,111966,0
453,2021-08-28,YT,65139,31848,0
454,2021-08-28,NT,66295,32113,0
455,2021-08-28,NU,44122,20638,0
456,2021-09-04,BC,7509127,3572841,0
457,2021-09-04,AB,5583842,2639184,0
458,2021-09-04,SK,1486624,700593,0
459,2021-09-04,MB,1944380,938928,338
460,2021-09-04,ON,20917550,10031003,0
461,2021-09-04,QC,12740860,6100829,23862
462,2021-09-04,NL,786493,368567,0
463,2021-09-04,NB,1119321,528063,0
464,2021-09-04,NS,1451801,693714,0
465,2021-09-04,PE,243650,115024,0
466,2021-09-04,YT,65353,31977,0
467,2021-09-04,NT,67111,32475,0
468,2021-09-04,NU,44564,20887,0
469,2021-09-11,BC,7583999,3614503,0
470,2021-09-11,AB,5634146,2664986,0
471,2021-09-11,SK,1498709,707273,0
472,2021-09-11,MB,1962739,948662,403
473,2021-09-11,ON,21138345,10152637,0
474,2021-09-11,QC,12887356,6191521,33561
475,2021-09-11,NL,795546,374891,0
476,2021-09-11,NB,1127422,532991,0
477,2021-09-11,NS,1464075,701708,0
478,2021-09-11,PE,246214,116871,0
479,2021-09-11,YT,65472,32051,0
480,2021-09-11,NT,67601,32689,0
481,2021-09-11,NU,44923,21074,0
482,2021-09-18,BC,7675294,3659495,0
483,2021-09-18,AB,5754307,2699191,42745
484,2021-09-18,SK,1515564,715998,0
485,2021-09-18,MB,1979684,957730,1159
486,2021-09-18,ON,21357675,10280570,0
487,2021-09-18,QC,13019651,6271220,43668
488,2021-09-18,NL,804647,381607,0
489,2021-09-18,NB,1138881,539484,0
490,2021-09-18,NS,1480851,711312,0
491,2021-09-18,PE,248935,118795,0
492,2021-09-18,YT,65765,32239,0
493,2021-09-18,NT,68114,32930,0
494,2021-09-18,NU,45347,21216,0
495,2021-09-25,BC,7771314,3709554,0
496,2021-09-25,AB,5963532,2760404,106031
497,2021-09-25,SK,1542287,727357,0
498,2021-09-25,MB,1996216,966876,3084
499,2021-09-25,ON,21614205,10437551,0
500,2021-09-25,QC,13123240,6335269,51655
501,2021-09-25,NL,811577,385877,0
502,2021-09-25,NB,1155893,547486,0
503,2021-09-25,NS,1496634,719820,0
504,2021-09-25,PE,251706,120465,0
505,2021-09-25,YT,65966,32375,0
506,2021-09-25,NT,68757,33302,0
507,2021-09-25,NU,45347,21216,0
508,2021-10-02,BC,7852885,3761048,4756
509,2021-10-02,AB,6085230,2801282,131547
510,2021-10-02,SK,1567255,738553,0
511,2021-10-02,MB,2013841,977229,5442
512,2021-10-02,ON,21847046,10583567,0
513,2021-10-02,QC,13214197,6392022,59408
514,2021-10-02,NL,821829,392100,0
515,2021-10-02,NB,1179181,558491,0
516,2021-10-02,NS,1512263,728168,0
517,2021-10-02,PE,252873,121132,0
518,2021-10-02,YT,66211,32480,73
519,2021-10-02,NT,69242,33588,496
520,2021-10-02,NU,46430,21683,0
521,2021-10-09,BC,7937214,3811076,11341
522,2021-10-09,AB,6192093,2840719,157408
523,2021-10-09,SK,1635904,751905,40192
524,2021-10-09,MB,2035110,986893,11622
525,2021-10-09,ON,22042483,10707708,0
526,2021-10-09,QC,13297230,6443981,65727
527,2021-10-09,NL,832044,397862,0
528,2021-10-09,NB,1193408,565024,0
529,2021-10-09,NS,1529212,737561,0
530,2021-10-09,PE,255617,122697,357
531,2021-10-09,YT,66685,32645,196
532,2021-10-09,NT,70449,33850,698
533,2021-10-09,NU,46959,21963,0
534,2021-10-16,BC,8025356,3848689,42815
535,2021-10-16,AB,6304054,2886025,192180
536,2021-10-16,SK,1665714,764398,45230
537,2021-10-16,MB,2056976,994840,20707
538,2021-10-16,ON,22208199,10815108,0
539,2021-10-16,QC,13372026,6488192,73550
540,2021-10-16,NL,843443,404034,0
541,2021-10-16,NB,1206744,571566,0
542,2021-10-16,NS,1543667,745517,0
543,2021-10-16,PE,260024,125203,590
544,2021-10-16,YT,66685,32645,297
545,2021-10-16,NT,71370,34209,998
546,2021-10-16,NU,46959,21963,0
547,2021-10-23,BC,8120458,3891058,76896
548,2021-10-23,AB,6424188,2945712,228280
549,2021-10-23,SK,1693808,778676,50958
550,2021-10-23,MB,2075973,1001413,28956
551,2021-10-23,ON,22365905,10918231,0
552,2021-10-23,QC,13449998,6525564,93016
553,2021-10-23,NL,857633,411561,0
554,2021-10-23,NB,1220804,580294,0
555,2021-10-23,NS,1558391,753331,796
556,2021-10-23,PE,260024,125203,590
557,2021-10-23,YT,67267,32879,412
558,2021-10-23,NT,72553,34492,1658
559,2021-10-23,NU,48148,22485,0
560,2021-10-30,BC,8218844,3940563,101131
561,2021-10-30,AB,6528133,3001199,257477
562,2021-10-30,SK,1722541,793686,58066
563,2021-10-30,MB,2093490,1007268,37089
564,2021-10-30,ON,22498977,11007022,0
565,2021-10-30,QC,13527956,6557030,121657
566,2021-10-30,NL,866788,416799,0
567,2021-10-30,NB,1231517,588142,0
568,2021-10-30,NS,1572667,761334,2502
569,2021-10-30,PE,264696,127759,1061
570,2021-10-30,YT,67558,33002,446
571,2021-10-30,NT,75161,34788,3630
572,2021-10-30,NU,48763,22752,0
573,2021-11-06,BC,8311858,3976133,151456
574,2021-11-06,AB,6606404,3042368,278608
575,2021-11-06,SK,1753758,807319,70306
576,2021-11-06,MB,2111624,1012637,46674
577,2021-11-06,ON,22594149,11069363,0
578,2021-11-06,QC,13609642,6582923,162021
579,2021-11-06,NL,873910,421154,0
580,2021-11-06,NB,1242174,596024,0
581,2021-11-06,NS,1583479,767200,4586
582,2021-11-06,PE,267042,128932,1803
583,2021-11-06,YT,68468,33133,1036
584,2021-11-06,NT,78565,35070,6520
585,2021-11-06,NU,49251,23004,0
586,2021-11-13,BC,8423484,4013176,207105
