,totalcases,totalcases_change,recovery_change,death_change,partial_change,fully_change,booster_change
0,599675,0,0,0,0,0,0
1,656408,56733,57308,1065,190131,3938,0
2,704262,47854,55694,983,253570,16679,0
3,741738,37476,50903,1050,261376,33973,0
4,772321,30583,41929,856,153010,56612,0
5,797502,25181,33734,645,113758,61134,0
6,819088,21586,30824,477,197564,122341,3
7,839265,20177,24370,339,204478,119101,5
8,860037,20772,21528,253,389756,116588,3
9,880546,20509,20531,226,497263,48339,1
10,902871,22325,20641,213,612603,32945,4
11,928287,25416,21052,188,938943,34904,3
12,960630,32343,22618,235,1118633,38682,3
13,1002282,41652,25251,197,1314464,48078,5
14,1058461,56179,37173,299,1551351,98656,6
15,1119636,61175,44923,340,1981927,101946,12
16,1176696,57060,58151,388,2044013,104771,20
17,1232053,55357,57529,388,1849846,114715,29
18,1282787,50734,55109,337,2014237,128615,36
19,1324657,41870,52512,289,2465681,160831,30
20,1355021,30364,47798,310,2639140,244745,42
21,1374781,19760,38785,270,2451435,326023,54
22,1388330,13549,26674,208,2630346,772991,121
23,1397803,9473,17376,131,2894015,1633051,139
24,1404524,6721,12344,120,3208575,2474201,275
25,1409175,4651,7877,92,3308318,2874351,278
26,1412620,3445,6325,69,3653120,3285546,461
27,1415902,3282,4179,67,3445286,3126588,1487
28,1418624,2722,3496,52,2807806,2518921,403
29,1422328,3704,3115,45,2360498,2102476,473
30,1427652,5324,2842,34,1854428,1606549,2321
31,1436101,8449,3928,30,1179335,985499,2599
32,1449335,13234,5776,29,976692,780047,2990
33,1466863,17528,9357,42,891322,677932,2986
34,1488599,21736,15983,82,740080,516562,2975
35,1514173,25574,18326,122,657558,405752,6436
36,1541979,27806,22388,166,555871,317772,9764
37,1572563,30584,25817,218,638168,329930,53608
38,1602368,29805,28204,242,751959,375765,73198
39,1631290,28922,30687,290,621809,343791,40952
40,1656665,25375,29402,248,605925,312541,85819
41,1677387,20722,27654,273,536809,278505,88826
42,1695221,17834,24421,265,543933,288510,105195
43,1711273,16052,19250,217,501941,270445,101497
44,1727753,16480,17337,165,433233,203916,139951
45,1745296,17543,16577,195,445302,194616,153427
46,1763016,17720,13971,155,429343,181954,154630
47,1781997,18981,22147,137,425778,135244,160818
48,1803605,21608,18153,150,1569639,114957,991765
49,1831924,28319,19975,154,1203856,97044,695741
50,1886254,54330,24205,144,1713032,86346,1308777
51,2035839,149585,34056,141,2352755,85508,2040576
52,2307238,271399,59154,265,1679968,52006,1521920
53,2592273,285035,190953,519,2203620,95646,1976612
54,2805431,213158,264780,909,2549654,136745,2245266
55,2950379,144948,217545,1192,2104978,133381,1839776
56,3061965,111586,200478,1102,1760702,260843,1369913
57,3148712,86747,141846,944,1313676,272241,857321
58,3215077,66365,94798,765,881261,238001,563656
59,3261669,46592,76233,546,615555,180634,379081
60,3302011,40342,55806,445,456627,118919,291630
61,3339936,37925,37097,368,586477,81855,469987
62,3378340,38404,40518,294,214780,59558,118793
63,3417497,39157,29837,289,201804,63386,111590
64,3466134,48637,27327,256,184677,51806,130914
65,3527722,61588,28399,257,222084,61467,93473
66,3603242,75520,33782,337,287736,27142,76137
67,3671855,68613,45305,442,456231,20018,65723
68,3731292,59437,45332,487,586236,46132,104045
69,3777600,46308,25683,512,470233,20995,81728
70,3815158,37558,22613,481,405658,20781,26543
71,3844377,29219,14649,483,310258,13924,36231
72,3866156,21779,17893,304,391150,22661,53242
73,3883660,17504,11645,303,249206,23183,34544
74,3899853,16193,71896,250,222248,16885,32128
75,3916066,16213,26877,205,201008,7859,29992
76,3931525,15459,7493,142,183849,14469,28264
77,3949279,17754,12225,140,183176,12553,27401
78,3971942,22663,10279,157,97139,8726,17562
79,3999497,27555,33604,175,242434,13890,37664
80,4031935,32438,15804,248,256778,12124,36132
81,4065255,33320,9081,298,355988,12244,38084
82,4094107,28852,11166,267,423857,3989,46634
83,4119798,25691,12106,348,289375,9814,27225
84,4143702,23904,11215,263,207817,9972,25497
85,4166791,23089,10505,310,334513,12599,33502
86,4187896,21105,9985,310,217718,8937,21893
87,4206376,18480,9479,256,267121,12500,38103
88,4223104,16728,8909,230,187643,8219,37805
89,4240663,17559,8599,229,263498,7528,36322
90,4259309,18646,7513,215,320787,8479,30371
91,4278941,19632,8502,237,538516,9537,32661
92,4299349,20408,8217,294,584784,14547,39250
93,4320812,21463,7445,390,522559,13816,32796
94,4342177,21365,10164,389,620998,13294,32733
95,4363146,20969,9998,385,675757,13261,37467
96,4381544,18398,9828,356,659039,12168,37677
97,4396824,15280,9762,306,491620,10826,35830
98,4411414,14590,8159,326,577767,10344,36093
99,4426556,15142,6011,314,539001,14118,43614
100,4442767,16211,8811,285,390064,10989,46328
101,4459401,16634,95,286,310383,10819,27907
102,4476807,17406,10296,389,476094,15632,43647
103,4493217,16410,5639,353,161773,5593,13846
104,4509923,16706,6567,266,77812,3113,9131
105,4526747,16824,6028,338,155338,7353,18019
106,4540446,13699,7288,313,235783,9677,22233
107,4551915,11469,6422,290,156283,7672,14146
108,4562263,10348,5230,257,115634,-146538,-77634
109,4572608,10345,4971,232,72697,4825,7086
110,4582941,10333,4863,217,84852,334,3060
111,4592618,9677,4447,170,61146,3631,4306
112,4601788,9170,4393,170,49977,3052,3442
113,4610739,8951,3972,163,53925,4180,3389
114,4619331,8592,3917,186,58469,795,1355
115,4627685,8354,3691,159,55399,1579,2435
116,4635544,7859,3561,134,46537,789,1398
117,4642640,7096,2964,149,61388,2181,3339
118,4648940,6300,18,146,52807,-2721,-1005
119,4655557,6617,0,118,76241,1012,2428
120,4661333,5776,0,150,97749,206,1222
121,4666570,5237,0,141,57169,543,1466
122,4671221,4651,0,121,52200,-2114,-997
123,4675361,4140,0,112,99104,-232,380
124,4679079,3718,0,122,78131,377,1040
125,4682820,3741,0,85,45954,-932,-434
126,4685967,3147,0,109,45347,-253,100
127,4688316,2349,0,77,50405,-2863,-1721
128,4690254,1938,0,53,16431,-8079,805
129,4692169,1915,0,65,31240,-705,-309
130,4694177,2008,0,52,28070,-24,308
131,4695560,1383,0,29,16513,-3574,-2758
132,4697112,1552,0,30,15934,-1352,-1060
133,4698924,1812,0,53,12517,-1170,-951
134,4700792,1868,0,38,22464,14,395
135,4703090,2298,0,61,10437,-2567,-2079
136,4705608,2518,0,39,10318,-1049,-825
137,4709009,3401,0,54,14609,-755,-600
138,4714054,5045,0,65,13231,-952,-802
139,4719161,5107,0,76,11524,-364,-278
140,4725058,5897,0,117,8258,-3321,-2702
141,4732245,7187,0,125,9669,-1080,-982
142,4741213,8968,0,133,7924,-1255,-1077
143,4753083,11870,0,178,14798,-693,-820
144,4763744,10661,0,205,17247,-2865,-2055
145,4773152,9408,0,225,81843,-912,19
146,4782083,8931,0,216,359655,-173,3497
147,4791630,9547,0,230,463061,864,6055
148,4800774,9144,0,201,548385,1224,8098
149,4810434,9660,0,209,503630,-1033,7615
150,4821520,11086,0,213,409007,768,8596
151,4833037,11517,0,178,365028,750,8504
152,4844720,11683,0,215,282948,706,7245
153,4856586,11866,0,226,252710,-1077,5173
154,4868947,12361,0,182,194451,-455,5174
155,4880937,11990,0,179,118051,1003,4328
156,4891592,10655,0,199,114894,-1416,2235
